Area,Bedrooms,Bathrooms,Price
3419,1,1,6862986
1926,2,2,4429958
3816,1,5,8114380
3218,4,1,7178022
1183,2,2,3284351
3265,1,5,7181248
3732,6,5,9887549
1702,4,5,5459452
826,2,4,2995189
1938,2,2,4778690
2178,1,1,4439591
1196,3,3,3929326
1883,1,4,4650537
1311,4,1,4019228
2000,6,5,7014231
2281,5,2,6415198
1084,1,2,2896510
1985,1,2,4567286
1213,4,3,4231117
3403,3,2,7559481
2255,2,3,5536955
3599,6,1,8867560
3400,2,5,8052272
1802,2,4,4772543
1905,6,5,6494141
3604,3,1,7627287
931,3,4,3496173
1071,2,5,3937269
3740,3,2,8315638
2844,4,4,7224105
1884,2,2,4671788
3099,5,3,8129850
3194,4,5,8208600
2282,2,2,5264738
2821,1,1,5849265
1249,2,2,3553477
3587,4,5,8739906
2376,4,5,6772192
2967,3,5,7691896
847,6,1,3952012
2999,3,3,6916685
2002,4,2,5431481
813,6,3,4235851
3920,2,5,9084479
1235,6,3,5174277
3417,5,5,8854886
1426,3,2,4089589
3989,5,1,9214219
2127,4,1,5257250
2286,3,2,5385169
1786,5,1,4979707
3797,4,1,8603374
2981,2,2,6601699
2746,5,2,7021766
2961,5,4,7820843
3008,6,2,8078190
2076,4,3,5776490
2919,4,1,6754173
1720,1,3,3867028
3209,5,2,8024712
1702,1,1,3754712
3384,1,2,6666537
928,3,1,2959965
1774,3,4,4985521
3008,2,5,7266500
2736,2,4,6678160
2467,2,1,5161419
3499,4,3,8330277
2483,4,1,6192436
3476,6,1,8358578
2449,6,3,7337941
1247,2,2,3234324
2996,4,2,7203987
1551,3,4,4602770
1108,4,5,4295732
1007,6,5,5200919
860,1,2,2175194
2464,4,4,6577265
2442,1,2,5134291
808,4,3,3750162
2663,3,4,6838614
3792,5,4,9286758
1577,3,2,4109262
3172,6,5,8691559
3863,3,1,7999689
3192,4,5,8477623
2975,2,1,6291248
1128,2,1,3012369
1078,6,2,4442094
1291,5,2,4567320
3235,1,5,7065982
2517,6,5,7776941
2941,3,3,6860890
3543,6,3,9012540
1887,4,2,5338759
3443,3,4,8043167
3879,1,1,7542473
3344,5,1,7777609
3002,2,5,7092641
1342,3,1,3896590
1800,3,3,4782704
2594,5,3,7149895
3478,5,1,8330552
3071,3,1,7040069
1350,3,1,3916465
1238,6,5,5259899
1915,3,5,5457430
3739,3,2,8330646
3397,3,5,8270731
1828,1,1,3942947
2534,3,1,5583058
2166,2,3,5093515
3836,4,5,9524772
2551,5,1,6370454
1108,6,2,4570446
947,3,5,3894282
1406,4,2,4142730
2062,3,1,5202895
2265,2,2,5316665
1221,3,5,4561341
2464,5,2,6860566
1769,2,2,4536315
2488,1,2,5404571
2160,4,2,5617883
1452,6,1,4884162
958,4,2,3419033
2685,3,3,6723197
1732,2,1,4133647
1591,4,3,4819868
1084,3,3,3747521
2886,4,5,7618417
913,1,3,2497020
3178,3,1,6797234
3243,4,3,8029367
2084,4,5,6269332
1273,4,5,4641056
1843,1,4,4298286
2929,5,2,7403156
2566,1,3,5705512
2085,6,1,6200358
2030,5,3,6163643
2472,3,4,6495138
2011,5,2,5660379
2522,6,4,7624709
3864,2,5,8803575
2032,4,5,6344712
801,3,3,3011996
2560,5,5,7551254
2119,4,4,6076019
3567,2,5,8218685
